x,y,species cloglog values
1.0,1.0,0.010833401
2.0,2.0,0.030814104
3.0,3.0,0.018262725
4.0,4.0,0.54599875
5.0,5.0,0.018379774
6.0,6.0,0.4777863
7.0,7.0,0.02481464
8.0,8.0,0.0032457244
9.0,9.0,0.031380832
10.0,10.0,0.64236593
11.0,11.0,0.4721869
12.0,12.0,0.58783245
13.0,13.0,0.015359154
14.0,14.0,0.07417558
15.0,15.0,0.041593917
16.0,16.0,0.028104521
17.0,17.0,0.0018654708
18.0,18.0,0.02448229
19.0,19.0,0.32982433
20.0,20.0,0.7063373
21.0,21.0,0.019429017
22.0,22.0,0.41364563
23.0,23.0,0.054058235
24.0,24.0,0.016852017
25.0,25.0,0.116893664
26.0,26.0,0.0010529645
27.0,27.0,0.34612513
28.0,28.0,0.0047758254
29.0,29.0,0.27833784
30.0,30.0,0.05304942
31.0,31.0,0.025485136
32.0,32.0,0.030279895
33.0,33.0,0.66999376
34.0,34.0,0.0075179962
35.0,35.0,0.01242715
36.0,36.0,0.51227754
37.0,37.0,9.6499185E-5
38.0,38.0,0.4694781
39.0,39.0,0.69277954
40.0,40.0,0.119915746
41.0,41.0,0.054190706
42.0,42.0,0.27988824
43.0,43.0,0.0024158913
44.0,44.0,0.017650465
45.0,45.0,0.066870496
46.0,46.0,0.122769274
47.0,47.0,0.70786595
48.0,48.0,0.013048065
49.0,49.0,0.07126945
50.0,50.0,0.41606686
51.0,51.0,0.16173285
52.0,52.0,0.022099888
53.0,53.0,0.0055258926
54.0,54.0,0.08218638
55.0,55.0,0.116374224
56.0,56.0,0.0153628895
57.0,57.0,0.02077828
58.0,58.0,0.021204375
59.0,59.0,0.43623635
60.0,60.0,0.4849429
61.0,61.0,0.0121582225
62.0,62.0,0.38092673
63.0,63.0,0.025378898
64.0,64.0,0.013099698
65.0,65.0,0.10443259
66.0,66.0,0.005132206
67.0,67.0,0.06739646
68.0,68.0,0.16962865
69.0,69.0,0.023567438
70.0,70.0,0.45121875
71.0,71.0,0.02343221
72.0,72.0,0.72171223
73.0,73.0,0.00957794
74.0,74.0,0.011269243
75.0,75.0,0.25899345
76.0,76.0,0.0037629567
77.0,77.0,0.065398544
78.0,78.0,0.003944675
79.0,79.0,0.02858923
80.0,80.0,0.0723494
81.0,81.0,0.004866035
82.0,82.0,0.03323688
83.0,83.0,0.017477479
84.0,84.0,0.5591326
85.0,85.0,0.007819214
86.0,86.0,0.031226147
87.0,87.0,0.28357616
88.0,88.0,0.0068221013
89.0,89.0,0.0058050053
90.0,90.0,0.5416109
91.0,91.0,5.107707E-6
92.0,92.0,0.39740077
93.0,93.0,0.11317262
94.0,94.0,0.04783291
95.0,95.0,0.009463517
96.0,96.0,0.55304384
97.0,97.0,0.18455282
98.0,98.0,0.008493726
99.0,99.0,0.4356363
100.0,100.0,0.022403197
101.0,101.0,0.54900265
102.0,102.0,0.0073145065
103.0,103.0,0.004066722
104.0,104.0,0.1435292
105.0,105.0,0.4872277
106.0,106.0,0.015167178
107.0,107.0,0.49090952
108.0,108.0,0.21558687
109.0,109.0,0.0066623976
110.0,110.0,0.108006865
111.0,111.0,0.5907796
112.0,112.0,0.0040549235
113.0,113.0,0.017063696
114.0,114.0,0.06549467
115.0,115.0,0.07393892
116.0,116.0,0.010705181
117.0,117.0,0.06463847
118.0,118.0,0.56272215
119.0,119.0,0.0058246087
120.0,120.0,0.46289477
121.0,121.0,0.0035079808
122.0,122.0,0.5989345
123.0,123.0,0.43302625
124.0,124.0,0.01977157
125.0,125.0,0.11224614
126.0,126.0,0.60415715
127.0,127.0,0.39437577
128.0,128.0,0.005351781
129.0,129.0,0.30833706
130.0,130.0,0.022732979
131.0,131.0,0.3970382
132.0,132.0,0.6188422
133.0,133.0,0.014437966
134.0,134.0,0.38053834
135.0,135.0,0.07620873
136.0,136.0,0.26210797
137.0,137.0,0.01148423
138.0,138.0,0.43030408
139.0,139.0,0.018144567
140.0,140.0,0.021856606
141.0,141.0,0.020029595
142.0,142.0,0.08540973
143.0,143.0,0.029330922
144.0,144.0,0.16426417
145.0,145.0,0.008322905
146.0,146.0,0.014397879
147.0,147.0,0.035111833
148.0,148.0,0.06734486
149.0,149.0,0.20432612
150.0,150.0,0.02002389
151.0,151.0,0.17662719
152.0,152.0,0.032811522
153.0,153.0,0.017271025
154.0,154.0,0.19689026
155.0,155.0,0.64018667
156.0,156.0,0.6769335
157.0,157.0,0.013491128
158.0,158.0,0.4203996
159.0,159.0,0.008750358
160.0,160.0,0.029765097
161.0,161.0,0.17806594
162.0,162.0,0.028307606
163.0,163.0,0.07732539
164.0,164.0,0.003863864
165.0,165.0,0.28132805
166.0,166.0,0.61397594
167.0,167.0,0.0833491
168.0,168.0,0.68191713
169.0,169.0,0.002939056
170.0,170.0,0.10716941
171.0,171.0,0.032157898
172.0,172.0,0.09822105
173.0,173.0,0.013309037
174.0,174.0,0.012489654
175.0,175.0,4.6734512E-4
176.0,176.0,0.0376454
177.0,177.0,0.099171616
178.0,178.0,0.014059538
179.0,179.0,4.1777643E-5
180.0,180.0,0.013372116
181.0,181.0,0.2073166
182.0,182.0,0.009012747
183.0,183.0,0.25786504
184.0,184.0,0.1787312
185.0,185.0,0.017045505
186.0,186.0,0.25772437
187.0,187.0,0.012321499
188.0,188.0,0.4742561
189.0,189.0,0.4139622
190.0,190.0,0.09803013
191.0,191.0,0.6438715
192.0,192.0,0.012697872
193.0,193.0,0.016735934
194.0,194.0,0.059020583
195.0,195.0,0.007494467
196.0,196.0,0.40532088
197.0,197.0,0.34675673
198.0,198.0,0.01714603
199.0,199.0,0.5602162
200.0,200.0,0.08441971
201.0,201.0,0.018358065
202.0,202.0,0.0031423469
203.0,203.0,0.20349771
204.0,204.0,0.16891092
205.0,205.0,0.012234945
206.0,206.0,0.027675493
207.0,207.0,0.45030597
208.0,208.0,0.0063092643
209.0,209.0,0.3813421
210.0,210.0,0.038650475
211.0,211.0,0.006870296
212.0,212.0,0.01486665
213.0,213.0,0.065831155
214.0,214.0,0.022805693
215.0,215.0,0.086293206
216.0,216.0,0.18481025
217.0,217.0,0.004193693
218.0,218.0,0.17790312
219.0,219.0,0.15072846
220.0,220.0,0.4442301
221.0,221.0,0.07883125
222.0,222.0,1.3909993E-5
223.0,223.0,0.013573457
224.0,224.0,0.3574516
225.0,225.0,0.07710741
226.0,226.0,0.54177505
227.0,227.0,0.028888509
228.0,228.0,0.028813122
229.0,229.0,0.01570078
230.0,230.0,0.28948382
231.0,231.0,0.006119728
232.0,232.0,0.033025295
233.0,233.0,0.11194131
234.0,234.0,0.093423285
235.0,235.0,0.02184982
236.0,236.0,0.027408198
237.0,237.0,0.53528994
238.0,238.0,0.015009402
239.0,239.0,0.15375581
240.0,240.0,0.53591806
241.0,241.0,0.36222717
242.0,242.0,0.61441904
243.0,243.0,0.11985766
244.0,244.0,0.001311861
245.0,245.0,0.5961954
246.0,246.0,0.040186316
247.0,247.0,0.010282236
248.0,248.0,0.0049522887
249.0,249.0,0.06531663
250.0,250.0,0.48848212
251.0,251.0,0.0065592406
252.0,252.0,0.012503506
253.0,253.0,0.027221056
254.0,254.0,0.22927295
255.0,255.0,0.6985462
256.0,256.0,0.0023677524
257.0,257.0,0.032972787
258.0,258.0,0.41977957
259.0,259.0,0.20700952
260.0,260.0,0.021571403
261.0,261.0,0.32782632
262.0,262.0,0.010773563
263.0,263.0,0.024027776
264.0,264.0,0.48163435
265.0,265.0,0.010654705
266.0,266.0,0.00610127
267.0,267.0,0.009249384
268.0,268.0,0.047095753
269.0,269.0,0.021750342
270.0,270.0,0.09463723
271.0,271.0,0.11369364
272.0,272.0,0.0080782985
273.0,273.0,0.10633882
274.0,274.0,0.4063039
275.0,275.0,0.5379283
276.0,276.0,0.015866047
277.0,277.0,0.02000314
278.0,278.0,0.020887097
279.0,279.0,0.016872015
280.0,280.0,0.05523442
281.0,281.0,0.006819682
282.0,282.0,0.015625307
283.0,283.0,0.015366897
284.0,284.0,0.03050347
285.0,285.0,0.04706294
286.0,286.0,0.6346432
287.0,287.0,1.575766E-5
288.0,288.0,0.020646755
289.0,289.0,0.08726708
290.0,290.0,0.022524243
291.0,291.0,0.078389026
292.0,292.0,0.12935944
293.0,293.0,0.45601818
294.0,294.0,0.007818474
295.0,295.0,0.46036193
296.0,296.0,0.25845295
297.0,297.0,0.011199139
298.0,298.0,0.68790376
299.0,299.0,0.047537196
300.0,300.0,0.33253956
301.0,301.0,0.59106016
302.0,302.0,0.004687678
303.0,303.0,0.4547413
304.0,304.0,0.03601031
305.0,305.0,0.23938255
306.0,306.0,0.11082988
307.0,307.0,0.030116428
308.0,308.0,0.02087205
309.0,309.0,0.0059666727
310.0,310.0,0.005401282
311.0,311.0,8.4954925E-4
312.0,312.0,0.0133245
313.0,313.0,0.026322117
314.0,314.0,3.0849307E-5
315.0,315.0,0.01289522
316.0,316.0,0.06261744
317.0,317.0,0.059520468
318.0,318.0,0.17566444
319.0,319.0,0.026965857
320.0,320.0,0.23913476
321.0,321.0,0.0224968
322.0,322.0,0.04300352
323.0,323.0,0.15624005
324.0,324.0,0.0043719746
325.0,325.0,0.10336183
326.0,326.0,0.04590209
327.0,327.0,0.005781161
328.0,328.0,0.016576556
329.0,329.0,0.069972076
330.0,330.0,0.045178775
331.0,331.0,0.35299382
332.0,332.0,2.8112358E-5
333.0,333.0,0.27588373
