Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.16747E-8,0.000001167,0.000005108,1,0,0
3.17942E-8,0.000004347,0.00001391,0.998496241,0,0
6.42572E-8,0.000014374,0.000028112,0.995488722,0,0
9.5493E-8,0.000030975,0.000041778,0.992481203,0,0
2.20579E-7,0.000053033,0.000096499,0.990977444,0,0
1.06846E-6,0.000159879,0.000467345,0.989473684,0,0
1.94264E-6,0.000354142,0.000849549,0.987969925,0,0
2.40803E-6,0.000594945,0.001052964,0.986466165,0,0
4.26788E-6,0.001321782,0.001865471,0.983458647,0,0
6.72768E-6,0.003089256,0.002939056,0.978947368,0,0
8.03228E-6,0.00535494,0.003507981,0.97443609,0,0
9.60567E-6,0.010825657,0.004193693,0.965413534,0,0
1.33522E-5,0.025143315,0.005824609,0.947368421,0,0
1.91032E-5,0.050971414,0.008322904,0.923308271,0,0
2.87594E-5,0.100588267,0.012503506,0.893233083,0,0
3.98212E-5,0.200914603,0.017271024,0.84962406,0,0
5.17892E-5,0.303315286,0.022403197,0.816541353,0,0
6.41496E-5,0.4004692,0.027675493,0.790977444,0.003012048,0
7.62552E-5,0.505160117,0.032811523,0.768421053,0.003012048,0
1.0567E-4,0.602258144,0.045178775,0.751879699,0.003012048,0
1.2987E-4,0.708262044,0.055234422,0.738345865,0.003012048,0
1.47802E-4,0.750973304,0.062617443,0.733834586,0.003012048,0
1.54828E-4,0.812628294,0.065494673,0.727819549,0.003012048,0
1.68997E-4,0.909377613,0.071269453,0.718796992,0.003012048,0
1.8395E-4,1.016571318,0.077325391,0.709774436,0.003012048,0
2.01592E-4,1.113651905,0.08441971,0.702255639,0.003012048,0
2.27243E-4,1.220699265,0.094637229,0.694736842,0.003012048,0
2.49376E-4,1.316722158,0.103361833,0.688721805,0.003012048,0
2.59103E-4,1.419032133,0.10716941,0.682706767,0.006024096,0
2.72137E-4,1.526355133,0.112246139,0.676691729,0.006024096,0
3.16629E-4,1.758067496,0.129359445,0.664661654,0.006024096,0
4.03239E-4,2.017506464,0.161732846,0.654135338,0.012048193,0
4.44216E-4,2.275542802,0.176627192,0.645112782,0.015060241,0
4.67046E-4,2.503483888,0.184810249,0.637593985,0.015060241,0
5.31039E-4,2.763968855,0.207316604,0.630075188,0.015060241,0
6.25423E-4,3.004004536,0.239382555,0.62406015,0.015060241,0
6.83461E-4,3.273505222,0.258452951,0.618045113,0.018072289,0
7.4559E-4,3.559835597,0.278337836,0.612030075,0.018072289,0
7.62242E-4,3.786618424,0.283576175,0.607518797,0.018072289,0
8.42637E-4,4.025301138,0.308337054,0.603007519,0.021084337,0
9.17425E-4,4.299317384,0.330601933,0.598496241,0.021084337,0
9.71054E-4,4.582422101,0.346125134,0.593984962,0.027108434,0
9.95191E-4,4.779267458,0.352993804,0.590977444,0.027108434,0
1.02804E-3,5.085843491,0.36222717,0.586466165,0.030120482,0
1.09606E-3,5.30491292,0.380926737,0.583458647,0.030120482,0
1.10121E-3,5.524793858,0.382319329,0.580451128,0.030120482,0
1.15634E-3,5.755054257,0.397038202,0.577443609,0.03313253,0
1.19173E-3,6.108794148,0.406303916,0.572932331,0.03313253,0
1.22141E-3,6.352952695,0.41396219,0.569924812,0.03313253,0
1.24421E-3,6.600337296,0.419779559,0.566917293,0.03313253,0
1.26746E-3,6.851749364,0.425652047,0.563909774,0.03313253,0
1.297E-3,7.110054748,0.433026239,0.560902256,0.036144578,0
1.30998E-3,7.371807378,0.43623635,0.557894737,0.036144578,0
1.34262E-3,7.506069417,0.444230116,0.556390977,0.036144578,0
1.35205E-3,7.775871937,0.446518249,0.553383459,0.039156627,0
1.36775E-3,8.047851548,0.450305978,0.55037594,0.045180723,0
1.38139E-3,8.323145322,0.453578257,0.547368421,0.045180723,0
1.38626E-3,8.599983657,0.454741287,0.544360902,0.051204819,0
1.40337E-3,8.879482742,0.458806548,0.541353383,0.051204819,0
1.40995E-3,9.020477443,0.460361914,0.539849624,0.054216867,0
1.42253E-3,9.304800531,0.463324602,0.536842105,0.054216867,0
1.42412E-3,9.589465396,0.463697308,0.533834586,0.060240964,0
1.42764E-3,9.874992699,0.464522172,0.529323308,0.063253012,0
1.44712E-3,10.019704265,0.469066225,0.529323308,0.069277108,0
1.46059E-3,10.310652206,0.472186897,0.526315789,0.072289157,0
1.48497E-3,10.606105803,0.477786302,0.523308271,0.072289157,0
1.50182E-3,10.756287649,0.481622038,0.521804511,0.072289157,0
1.50214E-3,11.056689226,0.481695634,0.518796992,0.075301205,0
1.52667E-3,11.361007102,0.487227722,0.515789474,0.078313253,0
1.53227E-3,11.514233974,0.488482118,0.514285714,0.078313253,0
1.56446E-3,11.824994317,0.495636227,0.511278195,0.078313253,0
1.59105E-3,12.298115487,0.501468929,0.506766917,0.087349398,0
1.59551E-3,12.936320268,0.502441362,0.49924812,0.090361446,0
1.60163E-3,13.096483458,0.503771792,0.49924812,0.102409639,0
1.63194E-3,13.259677856,0.510309148,0.497744361,0.105421687,0
1.65813E-3,13.58960594,0.51588741,0.494736842,0.108433735,0
1.67296E-3,13.756902353,0.519018973,0.493233083,0.111445783,0
1.71144E-3,14.097128893,0.527047061,0.490225564,0.11746988,0
1.75162E-3,14.272291347,0.535289966,0.488721805,0.120481928,0
1.76092E-3,14.62385523,0.537176584,0.485714286,0.120481928,0
1.76189E-3,14.800044068,0.537372052,0.484210526,0.123493976,0
1.78293E-3,15.154800646,0.541610901,0.481203008,0.126506024,0
1.78375E-3,15.333175283,0.54177505,0.479699248,0.126506024,0
1.80491E-3,15.51366655,0.545998776,0.478195489,0.126506024,0
1.84066E-3,15.87974113,0.553043847,0.47518797,0.126506024,0
1.87201E-3,16.066942226,0.559132592,0.473684211,0.126506024,0
1.87764E-3,16.254705816,0.560216203,0.472180451,0.126506024,0
1.8907E-3,16.631927212,0.562722123,0.469172932,0.129518072,0
1.89475E-3,16.821401759,0.563495913,0.467669173,0.129518072,0
1.92962E-3,17.01436349,0.570104913,0.466165414,0.13253012,0
1.95699E-3,17.403023864,0.575221819,0.463157895,0.138554217,0
1.95773E-3,17.794495445,0.575359863,0.460150376,0.144578313,0
1.95883E-3,18.577697553,0.575564845,0.454135338,0.156626506,0
1.95883E-3,18.773580851,0.575564845,0.45112782,0.156626506,0
1.99706E-3,19.170126693,0.582604674,0.44962406,0.165662651,0
2.02587E-3,19.372713766,0.587832428,0.448120301,0.168674699,0
2.04227E-3,19.576941084,0.590779607,0.446616541,0.168674699,0
2.04384E-3,19.781325163,0.591060168,0.445112782,0.168674699,0
2.05967E-3,20.192825009,0.59388196,0.442105263,0.171686747,0
2.07272E-3,20.400097508,0.596195399,0.440601504,0.174698795,0
2.073E-3,20.607397873,0.596244626,0.439097744,0.174698795,0
2.07857E-3,20.81525534,0.597227517,0.437593985,0.177710843,0
2.08473E-3,21.023727912,0.598309963,0.436090226,0.180722892,0
2.09533E-3,21.442088882,0.60016882,0.433082707,0.18373494,0
2.09533E-3,21.651621636,0.60016882,0.430075188,0.18373494,0
2.09681E-3,21.861302279,0.600427434,0.430075188,0.189759036,0
2.11824E-3,22.073126473,0.604157154,0.428571429,0.192771084,0
2.12023E-3,22.285148977,0.604500442,0.427067669,0.192771084,0
2.12671E-3,22.709842617,0.605621196,0.42406015,0.198795181,0
2.12989E-3,22.922831334,0.606168775,0.422556391,0.201807229,0
2.13903E-3,23.136734801,0.607741764,0.421052632,0.204819277,0
2.14196E-3,23.350930942,0.608243711,0.419548872,0.207831325,0
2.14389E-3,23.565319778,0.608573841,0.418045113,0.210843373,0
2.15723E-3,23.781042986,0.610852301,0.416541353,0.213855422,0
2.17222E-3,24.214377764,0.613396161,0.413533835,0.219879518,0
2.17565E-3,25.518054453,0.613975949,0.404511278,0.237951807,0
2.18297E-3,25.954179247,0.615209633,0.401503759,0.237951807,0
2.18664E-3,26.17284355,0.615827539,0.4,0.240963855,0
2.20465E-3,26.393308556,0.618842209,0.398496241,0.243975904,0
2.20914E-3,26.614222236,0.619589674,0.396992481,0.243975904,0
2.22811E-3,26.837033337,0.622734497,0.395488722,0.246987952,0
2.23546E-3,27.283390331,0.62394536,0.392481203,0.253012048,0
2.23546E-3,27.506936224,0.62394536,0.389473684,0.253012048,0
2.24564E-3,27.955654927,0.625617483,0.387969925,0.262048193,0
2.2545E-3,28.18110463,0.627064598,0.386466165,0.265060241,0
2.2623E-3,28.407334959,0.628336099,0.384962406,0.268072289,0
2.26446E-3,28.860011293,0.628686633,0.381954887,0.274096386,0
2.26496E-3,29.086507488,0.628768156,0.380451128,0.277108434,0
2.26641E-3,29.313148328,0.629003009,0.378947368,0.280120482,0
2.26641E-3,29.539789168,0.629003009,0.37593985,0.280120482,0
2.27479E-3,29.767268655,0.630361742,0.37593985,0.286144578,0
2.27479E-3,30.222227628,0.630361742,0.371428571,0.286144578,0
2.28351E-3,30.450578898,0.631768886,0.371428571,0.295180723,0
2.28464E-3,30.679042562,0.631949913,0.369924812,0.298192771,0
2.29891E-3,30.908933554,0.634241079,0.368421053,0.301204819,0
2.30142E-3,31.139075973,0.634643192,0.366917293,0.304216867,0
2.30459E-3,31.369535175,0.635149204,0.365413534,0.304216867,0
2.31318E-3,31.600853412,0.636517852,0.363909774,0.307228916,0
2.32278E-3,31.833131533,0.638041103,0.362406015,0.310240964,0
2.33213E-3,32.066344785,0.639518935,0.360902256,0.313253012,0
2.33612E-3,32.533169565,0.640146516,0.357894737,0.319277108,0
2.33637E-3,32.766806591,0.640186658,0.356390977,0.322289157,0
2.35026E-3,33.00183221,0.642365948,0.354887218,0.322289157,0
2.35282E-3,33.472210778,0.64276726,0.351879699,0.325301205,0
2.35852E-3,33.943345191,0.643656876,0.34887218,0.331325301,0
2.3599E-3,34.179335043,0.643871467,0.347368421,0.334337349,0
2.37722E-3,34.4170567,0.646559553,0.345864662,0.334337349,0
2.4204E-3,34.659096634,0.653174282,0.344360902,0.337349398,0
2.4204E-3,34.901136567,0.653174282,0.341353383,0.337349398,0
2.43245E-3,35.144381832,0.654998406,0.341353383,0.343373494,0
2.43724E-3,35.388105976,0.655720467,0.339849624,0.346385542,0
2.43813E-3,35.631919201,0.655854618,0.338345865,0.34939759,0
