Predictor variable,Categorical,Sample average
wc2.1_2.5m_bio_1,false,5.2109058449516095
wc2.1_2.5m_bio_10,false,14.503721981163485
wc2.1_2.5m_bio_11,false,-3.293171563814113
wc2.1_2.5m_bio_12,false,684.9909638554217
wc2.1_2.5m_bio_13,false,108.05722891566265
wc2.1_2.5m_bio_14,false,18.02710843373494
wc2.1_2.5m_bio_15,false,52.12839109926339
wc2.1_2.5m_bio_16,false,298.6566265060241
wc2.1_2.5m_bio_17,false,67.56626506024097
wc2.1_2.5m_bio_18,false,91.2078313253012
wc2.1_2.5m_bio_19,false,265.3524096385542
wc2.1_2.5m_bio_2,false,13.443632651524371
wc2.1_2.5m_bio_3,false,40.30706166072064
wc2.1_2.5m_bio_4,false,731.7525530895555
wc2.1_2.5m_bio_5,false,23.93474435231772
wc2.1_2.5m_bio_6,false,-9.596419591434211
wc2.1_2.5m_bio_7,false,33.531164019940846
wc2.1_2.5m_bio_8,false,3.2356252352067507
wc2.1_2.5m_bio_9,false,9.180674907201563
