X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.002634854707502352,45.3140855221629,0.6842352572277879
2.0,2.0,train,0.002872730124405855,60.877203182906705,0.7154451146292538
3.0,3.0,train,0.0015021429950389433,11.056726382293917,0.4816956340813804
4.0,4.0,train,0.002078574672697758,20.815413477876582,0.5972275170135174
5.0,5.0,train,0.0028417702098739862,56.3068899013843,0.7115645778769659
6.0,6.0,train,0.0015700812896384698,11.92501504398991,0.49687461393492505
7.0,7.0,train,0.002461194704981352,36.86097160351417,0.6593095517358125
8.0,8.0,train,0.002461194704981352,36.86097160351417,0.6593095517358125
9.0,9.0,train,0.002970836495473804,75.69930102996828,0.7274003364062465
10.0,10.0,train,0.00212671136729204,22.70993419491741,0.6056211964207625
11.0,11.0,train,0.002461194704981352,36.86097160351417,0.6593095517358125
12.0,12.0,train,0.002545968708492458,39.106777049202584,0.6717139355516589
13.0,13.0,train,0.002704004665903825,48.52471566778119,0.6936451375562543
14.0,14.0,train,0.002882957797700305,61.74031898290722,0.7167155512588479
15.0,15.0,train,0.0027303283684908548,48.79768320282413,0.6971530984197629
16.0,16.0,train,0.0027303283684908548,48.79768320282413,0.6971530984197629
17.0,17.0,train,0.002585438364676294,42.710426384957046,0.6773341498119692
18.0,18.0,train,0.003201077628215773,96.39453289888372,0.7535219328306524
19.0,19.0,train,0.002274794865765398,30.22235504815001,0.6303617415850395
20.0,20.0,train,0.0022281110095056732,26.837094643111246,0.6227344967931889
21.0,21.0,train,0.0010267218171406038,5.073541038206847,0.3618578790520802
22.0,22.0,train,0.002798697572996357,53.76824915498751,0.7060776417799107
23.0,23.0,train,0.0026893366652605537,47.714855281849005,0.6916728449344239
24.0,24.0,train,0.0024699382447256574,37.353768697972015,0.6606103149882844
25.0,25.0,train,0.002284636648721897,30.678364999810157,0.6319499132608191
26.0,26.0,train,0.002420399338371581,34.65909292532703,0.6531742823249964
27.0,27.0,train,0.002420399338371581,34.65909292532703,0.6531742823249964
28.0,28.0,train,0.0031878318270349747,96.0745265764775,0.7520894253011331
29.0,29.0,train,0.0011012113193035408,5.524799368309445,0.38231932917823075
30.0,30.0,train,0.0015955119520432509,12.936371353861775,0.5024413620533552
31.0,31.0,train,0.0015955119520432509,12.936371353861775,0.5024413620533552
32.0,32.0,train,0.0015955119520432509,12.936371353861775,0.5024413620533552
33.0,33.0,train,0.0027939789089585112,53.20924111351459,0.7054702324601494
34.0,34.0,train,0.0027939789089585112,53.20924111351459,0.7054702324601494
35.0,35.0,train,0.0015700812896384698,11.92501504398991,0.49687461393492505
